,Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err,est_beta
0,0,126012483,1,26,0,0.501039178,0,0.501039178
1,1,126012462,15.88831426,28,4.142857143,0.501039178,2,0.501039178
2,2,126012431.4,25.55298733,47.35714286,5.642857143,0.501039178,3.642857143,0.501039178
3,3,126012393.9,38.07895396,70.57142857,7.428571429,0.501039178,5.428571429,0.501039178
4,4,126012344.4,54.61322229,101.2142857,9.785714286,0.501039178,7.785714286,0.501039178
5,5,126012284.8,74.15370948,137.4285714,13.57142857,0.501039178,10.57142857,0.501039178
6,6,126012201.3,101.710786,188.5,18.5,0.501039178,14.5,0.501039178
7,7,126012096.7,136.2823568,252.5714286,24.42857143,0.501039178,19.42857143,0.501039178
8,8,126011983.6,172.356993,319.4285714,34.57142857,0.501039178,24.57142857,0.501039178
9,9,126011861.1,212.9409139,394.6428571,41.35714286,0.501039178,30.35714286,0.501039178
10,10,126011714,261.0403034,483.7857143,51.21428571,0.501039178,37.21428571,0.501039178
11,11,126011568.9,309.1396223,572.9285714,59.07142857,0.501039178,44.07142857,0.501039178
12,12,126011432.3,352.7295519,653.7142857,71.28571429,0.501039178,50.28571429,0.501039178
13,13,126011304.7,392.3111452,727.0714286,85.92857143,0.501039178,55.92857143,0.501039178
14,14,126011191.1,423.876134,785.5714286,109.4285714,0.501039178,60.42857143,0.501039178
15,15,126011088.6,451.4328244,836.6428571,133.3571429,0.501039178,64.35714286,0.501039178
16,16,126011002.5,473.478138,877.5,156.5,0.501039178,67.5,0.501039178
17,17,126010923,492.0161973,911.8571429,183.1428571,0.501039178,70.14285714,0.501039178
18,18,126010883.5,495.5232995,918.3571429,212.6428571,0.501039178,70.64285714,0.501039178
19,19,126010854.5,496.5252585,920.2142857,238.7857143,0.501039178,70.78571429,0.501039178
20,20,126010850,482.9972562,895.1428571,281.8571429,0.501039178,68.85714286,0.501039178
21,21,126010818.5,472.4753742,875.6428571,343.3571429,0.501039178,67.35714286,0.501039178
22,22,126010805.5,463.4566753,858.9285714,382.0714286,0.501039178,66.07142857,0.501039178
23,23,126010799.6,449.4276452,832.9285714,428.0714286,0.501039178,64.07142857,0.501039178
24,24,126010774.1,441.912017,819,475,0.501039178,63,0.501039178
25,25,126010768.6,425.3778197,788.3571429,527.6428571,0.501039178,60.64285714,0.501039178
26,26,126010790.2,397.8209337,737.2857143,584.7142857,0.501039178,56.71428571,0.501039178
27,27,126010801.7,380.2847284,704.7857143,623.2142857,0.501039178,54.21428571,0.501039178
28,28,126010818.3,360.7443978,668.5714286,662.4285714,0.501039178,51.42857143,0.501039178
29,29,126010834.8,343.208209,636.0714286,695.9285714,0.501039178,48.92857143,0.501039178
30,30,126010857.3,319.659614,592.4285714,740.5714286,0.501039178,45.57142857,0.501039178
31,31,126010867.4,303.6265155,562.7142857,776.2857143,0.501039178,43.28571429,0.501039178
32,32,126010876.9,291.1006622,539.5,802.5,0.501039178,41.5,0.501039178
33,33,126010887.9,277.071708,513.5,831.5,0.501039178,39.5,0.501039178
34,34,126010903.5,259.5355199,481,866,0.501039178,37,0.501039178
35,35,126010918,245.005539,454.0714286,892.9285714,0.501039178,34.92857143,0.501039178
36,36,126010937.5,225.46522,417.8571429,929.1428571,0.501039178,32.14285714,0.501039178
37,37,126010958.6,203.4197302,377,971,0.501039178,29,0.501039178
38,38,126010981.1,179.8711393,333.3571429,1015.642857,0.501039178,25.64285714,0.501039178
39,39,126010997.7,163.3370234,302.7142857,1046.285714,0.501039178,23.28571429,0.501039178
40,40,126011017.7,142.2936021,263.7142857,1086.285714,0.501039178,20.28571429,0.501039178
41,41,126011038.7,121.2501821,224.7142857,1125.285714,0.501039178,17.28571429,0.501039178
42,42,126011054.8,105.2171001,195,1155,0.501039178,15,0.501039178
43,43,126011080.8,78.16127377,144.8571429,1206.142857,0.501039178,11.14285714,0.501039178
44,44,126011093.4,64.63336049,119.7857143,1232.214286,0.501039178,9.214285714,0.501039178
45,45,126011103.9,54.11165065,100.2857143,1251.714286,0.501039178,7.714285714,0.501039178
46,46,126011113.4,44.5920084,82.64285714,1269.357143,0.501039178,6.357142857,0.501039178
47,47,126011115.9,42.08683939,78,1274,0.501039178,6,0.501039178
48,48,126011121.4,35.57339968,65.92857143,1287.071429,0.501039178,5.071428571,0.501039178
49,49,126011120.9,33.0682299,61.28571429,1294.714286,0.501039178,4.714285714,0.501039178
50,50,126011124.4,29.5609934,54.78571429,1301.214286,0.501039178,4.214285714,0.501039178
51,51,126011127.9,26.05375689,48.28571429,1307.714286,0.501039178,3.714285714,0.501039178
52,52,126011129.4,24.55065553,45.5,1310.5,0.501039178,3.5,0.501039178
53,53,126011126,24.04962098,44.57142857,1315.428571,0.501039178,3.428571429,0.501039178
54,54,126011125.5,23.54858702,43.64285714,1317.357143,0.501039178,3.357142857,0.501039178
55,55,126011121.4,24.55065397,45.5,1318.5,0.501039178,3.5,0.501039178
56,56,126011115.4,24.5506528,45.5,1324.5,0.501039178,3.5,0.501039178
57,57,126011105.9,26.05375234,48.28571429,1329.714286,0.501039178,3.714285714,0.501039178
58,58,126011082.9,32.0661524,59.42857143,1335.571429,0.501039178,4.571428571,0.501039178
59,59,126011076.4,33.56925196,62.21428571,1337.785714,0.501039178,4.785714286,0.501039178
60,60,126011067.9,35.07235085,65,1342,0.501039178,5,0.501039178
61,61,126011057.4,37.57751638,69.64285714,1345.357143,0.501039178,5.357142857,0.501039178
62,62,126011038.4,43.58991451,80.78571429,1347.214286,0.501039178,6.214285714,0.501039178
