date,province_confirmedCount,E,R,Days,I,est_beta,err
2020/1/22,444,0,45,0,399,0.003129245,0
2020/1/24,549,0,55,2,494,0.004075853,35.28571429
2020/1/25,730,0,71,3,659,0.005308445,47.07142857
2020/1/26,1058,0,94,4,964,0.006913164,68.85714286
2020/1/27,1423,0,123,5,1300,0.009001919,92.85714286
2020/1/28,2714,0,152,6,2562,0.011719973,183
2020/1/29,3554,0,212,7,3342,0.015255671,238.7142857
2020/1/30,4903,0,252,8,4651,0.019852853,332.2142857
2020/1/31,5806,0,345,9,5461,0.025826613,390.0714286
2020/2/1,7153,0,417,10,6736,0.033583084,481.1428571
2020/2/2,9074,0,561,11,8513,0.043644032,608.0714286
2020/2/3,11177,0,650,12,10527,0.056676857,751.9285714
2020/2/4,13522,0,811,13,12711,0.073530366,907.9285714
2020/2/5,16678,0,1015,14,15663,0.095275872,1118.785714
2020/2/6,19665,0,1261,15,18404,0.123251816,1314.571429
2020/2/7,22112,0,1485,16,20627,0.159107549,1473.357143
2020/2/8,24953,0,1917,17,23036,0.204837702,1645.428571
2020/2/9,27100,23638,2260,18,24840,0.262792081,-1602.571429
2020/2/10,29631,0,2725,19,26906,0.335636572,1921.857143
2020/2/11,31728,0,3284,20,28444,0.426228443,2031.714286
2020/2/12,33366,0,3754,21,29612,0.537356521,2115.142857
2020/2/13,48206,0,4769,22,43437,0.671288744,3102.642857
2020/2/14,51986,0,5218,23,46768,0.829078149,3340.571429
2020/2/15,54406,0,6278,24,48128,1.009622205,3437.714286
2020/2/16,56249,0,7262,25,48987,1.208570637,3499.071429
2020/2/17,58182,0,8389,26,49793,1.417340885,3556.642857
2020/2/18,59989,0,9732,27,50257,1.62269039,3589.785714
2020/2/19,61682,0,11257,28,50425,1.807397685,3601.785714
2020/2/20,62031,0,12550,29,49481,1.952447485,3534.357143
2020/2/21,62662,0,14025,30,48637,2.040584518,3474.071429
2020/2/22,63454,0,15940,31,47514,2.060331749,3393.857143
2020/2/23,64084,0,17689,32,46395,2.009015252,3313.928571
2020/2/24,64287,0,19243,33,45044,1.893505807,3217.428571
2020/2/25,64786,0,21534,34,43252,1.728340877,3089.428571
2020/2/26,65187,0,23584,35,41603,1.532064073,2971.642857
2020/2/27,65596,0,26024,36,39572,1.323256018,2826.571429
2020/2/28,65914,0,29085,37,36829,1.117529782,2630.642857
2020/2/29,66337,0,31720,38,34617,0.926043827,2472.642857
2020/3/1,66907,0,34297,39,32610,0.755384421,2329.285714
2020/3/2,67103,0,36737,40,30366,0.608309089,2169
2020/3/3,67217,0,39043,41,28174,0.484823943,2012.428571
2020/3/4,67332,0,41428,42,25904,0.383228843,1850.285714
2020/3/5,67466,0,43494,43,23972,0.300951724,1712.285714
2020/3/6,67592,0,44964,44,22628,0.235129967,1616.285714
2020/3/7,67666,0,46459,45,21207,0.182969342,1514.785714
2020/3/8,67707,0,48221,46,19486,0.141936385,1391.857143
2020/3/9,67743,0,49496,47,18247,0.109839335,1303.357143
2020/3/10,67760,0,50767,48,16993,0.084841514,1213.785714
2020/3/11,67773,0,52180,49,15593,0.065438057,1113.785714
2020/3/12,67781,0,53374,50,14407,0.050415903,1029.071429
2020/3/13,67786,0,54615,51,13171,0.038808884,940.7857143
2020/3/14,67790,0,56035,52,11755,0.02985432,839.6428571
2020/3/15,67794,0,57373,53,10421,0.022954192,744.3571429
2020/3/16,67798,0,58241,54,9557,0.017641955,682.6428571
2020/3/17,67799,0,59114,55,8685,0.013555037,620.3571429
2020/3/18,67800,0,60049,56,7751,0.010412481,553.6428571
2020/3/19,67800,0,60812,57,6988,0.007997065,499.1428571
2020/3/20,67800,0,61515,58,6285,0.006141122,448.9285714
2020/3/21,67800,0,62085,59,5715,0.004715408,408.2142857
2020/3/22,67800,0,62577,60,5223,0.003620395,373.0714286
2020/3/23,67800,0,63035,61,4765,0.002779494,340.3571429
2020/3/24,67801,0,63484,62,4317,0.002133806,308.3571429
2020/3/25,67801,0,63974,63,3827,0.001638055,273.3571429
2020/3/26,67801,0,64370,64,3431,0.001257447,245.0714286
2020/3/27,67801,0,64906,65,2895,0.000965254,206.7857143
2020/3/28,67801,0,65275,66,2526,0.000740946,180.4285714
2020/3/29,67801,0,65752,67,2049,0.000568756,146.3571429
2020/3/30,67801,0,66075,68,1726,0.000436577,123.2857143
2020/3/31,67801,0,66340,69,1461,0.000335114,104.3571429
2020/4/1,67802,0,66519,70,1283,0.00025723,91.64285714
2020/4/2,67802,0,66670,71,1132,0.000197447,80.85714286
2020/4/3,67802,0,66815,72,987,0.000151557,70.5
2020/4/4,67803,0,66969,73,834,0.000116332,59.57142857
2020/4/5,67803,0,67155,74,648,8.93E-05,46.28571429
2020/4/6,67803,0,67226,75,577,6.85E-05,41.21428571
2020/4/7,67803,0,67285,76,518,5.26E-05,37
2020/4/8,67803,0,67355,77,448,4.04E-05,32
2020/4/9,67803,0,67402,78,401,3.10E-05,28.64285714
2020/4/10,67803,0,67452,79,351,2.38E-05,25.07142857
2020/4/11,67803,0,67483,80,320,1.83E-05,22.85714286
2020/4/12,67803,0,67500,81,303,1.40E-05,21.64285714
2020/4/13,67803,0,67559,82,244,1.08E-05,17.42857143
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
