date,Days,I,E,R,err,S
2019/12/8,0,1,0,0,-6,1399999999
2019/12/9,1,1,0,0,-2.642857143,1399999999
2019/12/10,2,1,0,0,12.13594719,1399999999
2019/12/11,3,4,0,0,143.4895843,1399999996
2019/12/12,4,4,0,0,219.5332337,1399999996
2019/12/13,5,4,0,0,234.353725,1399999996
2019/12/14,6,4,0,0,381.0166037,1399999996
2019/12/15,7,6,0,0,504.5713361,1399999994
2019/12/16,8,6,0,0,747.0551667,1399999994
2019/12/17,9,7,0,0,1184.495994,1399999993
2019/12/18,10,8,0,0,1846.91453,1399999992
2019/12/19,11,9,0,0,2590.325931,1399999991
2019/12/20,12,14,0,0,4326.741048,1399999986
2019/12/21,13,18,0,0,5717.167378,1399999982
2019/12/22,14,21,0,0,7395.60981,1399999979
2019/12/23,15,29,0,0,9287.071204,1399999971
2019/12/24,16,30,0,0,11268.55285,1399999970
2019/12/25,17,33,0,0,13728.05483,1399999967
2019/12/26,18,35,0,0,16349.57633,1399999965
2019/12/27,19,37,0,0,19362.11582,1399999963
2019/12/28,20,37,0,0,22923.67131,1399999963
2019/12/29,21,37,0,0,26284.24047,1399999963
2019/12/30,22,37,0,0,28967.82075,1399999963
2019/12/31,23,40,0,0,31802.40951,1399999960
2020/1/1,24,43,0,0,33683.00404,1399999957
2020/1/2,25,44,0,0,36016.60172,1399999956
2020/1/3,26,41,0,0,37678.19996,1399999959
2020/1/4,27,41,0,0,38859.79633,1399999959
2020/1/5,28,41,0,0,51919.38854,1399999959
2020/1/6,29,41,0,0,55809.97447,1399999959
2020/1/7,30,41,0,0,56937.55218,1399999959
2020/1/8,31,41,0,0,57481.11994,1399999959
2020/1/9,32,41,0,0,57993.67621,1399999959
2020/1/10,33,38,0,3,58086.21964,1399999959
2020/1/11,34,34,0,7,57872.74907,1399999959
2020/1/12,35,33,0,8,56802.26353,1399999959
2020/1/13,36,33,0,8,55467.76222,1399999959
2020/1/14,37,33,0,8,53363.24451,1399999959
