date,Days,I,E,R,S
2019/12/8,0,1,0,0,1399999999
2019/12/9,1,1,0,0,1399999999
2019/12/10,2,1,0,0,1399999999
2019/12/11,3,4,0,0,1399999996
2019/12/12,4,4,0,0,1399999996
2019/12/13,5,4,0,0,1399999996
2019/12/14,6,4,0,0,1399999996
2019/12/15,7,6,0,0,1399999994
2019/12/16,8,6,0,0,1399999994
2019/12/17,9,7,0,0,1399999993
2019/12/18,10,8,0,0,1399999992
2019/12/19,11,9,0,0,1399999991
2019/12/20,12,14,0,0,1399999986
2019/12/21,13,18,0,0,1399999982
2019/12/22,14,21,0,0,1399999979
2019/12/23,15,29,0,0,1399999971
2019/12/24,16,30,0,0,1399999970
2019/12/25,17,33,0,0,1399999967
2019/12/26,18,35,0,0,1399999965
2019/12/27,19,37,0,0,1399999963
2019/12/28,20,37,0,0,1399999963
2019/12/29,21,37,0,0,1399999963
2019/12/30,22,37,0,0,1399999963
2019/12/31,23,40,0,0,1399999960
2020/1/1,24,43,0,0,1399999957
2020/1/2,25,44,0,0,1399999956
2020/1/3,26,41,0,0,1399999959
2020/1/4,27,41,0,0,1399999959
2020/1/5,28,41,0,0,1399999959
2020/1/6,29,41,0,0,1399999959
2020/1/7,30,41,0,0,1399999959
2020/1/8,31,41,0,0,1399999959
2020/1/9,32,41,0,0,1399999959
2020/1/10,33,38,0,3,1399999959
2020/1/11,34,34,0,7,1399999959
2020/1/12,35,33,0,8,1399999959
2020/1/13,36,33,0,8,1399999959
2020/1/14,37,33,0,8,1399999959
2020/1/15,38,27,0,14,1399999959
2020/1/16,39,28,0,17,1399999955
2020/1/17,40,41,0,21,1399999938
2020/1/18,41,171,0,27,1399999802
2020/1/19,42,246,0,29,1399999725
2020/1/20,43,260,54,31,1399999655
2020/1/21,44,406,37,34,1399999523
2020/1/22,45,529,393,42,1399999036
2020/1/23,46,771,1072,59,1399998098
2020/1/24,47,1208,1965,79,1399996748
2020/1/25,48,1870,2684,105,1399995341
2020/1/26,49,2613,5794,131,1399991462
2020/1/27,50,4349,6973,166,1399988512
2020/1/28,51,5739,9239,235,1399984787
2020/1/29,52,7417,12167,294,1399980122
2020/1/30,53,9308,15238,384,1399975070
2020/1/31,54,11289,17988,502,1399970221
2020/2/1,55,13748,19544,632,1399966076
2020/2/2,56,16369,21558,836,1399961237
2020/2/3,57,19381,23214,1057,1399956348
2020/2/4,58,22942,23260,1382,1399952416
2020/2/5,59,26302,24702,1716,1399947280
2020/2/6,60,28985,26359,2176,1399942480
2020/2/7,61,31819,27657,2775,1399937749
2020/2/8,62,33699,28942,3463,1399933896
2020/2/9,63,36032,23589,4192,1399936187
2020/2/10,64,37693,21675,5015,1399935617
2020/2/11,65,38874,16067,5856,1399939203
2020/2/12,66,51933,13435,6906,1399927726
2020/2/13,67,55823,10109,8109,1399925959
