date,Days,countryCode,province,city,I,E,R,S,err,est_beta
2019/12/8,0,CN,,,1,0,0,1399998974,0,0.160088037
2019/12/9,1,CN,,,0,0,0,1399994004,0,0.170041204
2019/12/10,2,CN,,,1,0,0,1400005650,0.071428571,0.179461679
2019/12/11,3,CN,,,3,0,0,1399997592,0.214285714,0.188129941
2019/12/12,4,CN,,,3,0,0,1400007266,0.214285714,0.195826476
2019/12/13,5,CN,,,4,0,0,1399997427,0.285714286,0.202342316
2019/12/14,6,CN,,,4,0,0,1400004057,0.285714286,0.207490222
2019/12/15,7,CN,,,6,0,0,1400005886,0.428571429,0.211115567
2019/12/16,8,CN,,,6,0,0,1399996605,0.428571429,0.213105912
2019/12/17,9,CN,,,5,0,0,1400001905,0.357142857,0.213398284
2019/12/18,10,CN,,,7,0,0,1399985492,0.5,0.211983357
2019/12/19,11,CN,,,7,0,0,1399996321,0.5,0.208906082
2019/12/20,12,CN,,,14,0,0,1400009687,1,0.204262683
2019/12/21,13,CN,,,17,0,0,1399991950,1.214285714,0.198194358
2019/12/22,14,CN,,,19,0,0,1400004639,1.357142857,0.190878391
2019/12/23,15,CN,,,29,0,0,1399985058,2.071428571,0.182517591
2019/12/24,16,CN,,,31,0,0,1400010893,2.214285714,0.173329106
2019/12/25,17,CN,,,33,0,0,1400001496,2.357142857,0.163533567
2019/12/26,18,CN,,,33,0,0,1399999247,2.357142857,0.153345392
2019/12/27,19,CN,,,36,0,0,1399995277,2.571428571,0.142964813
2019/12/28,20,CN,,,36,0,0,1400012420,2.571428571,0.132571929
2019/12/29,21,CN,,,37,0,0,1399996358,2.642857143,0.122322846
2019/12/30,22,CN,,,36,0,0,1399989268,2.571428571,0.112347771
2019/12/31,23,CN,,,39,0,0,1400002141,2.785714286,0.102750767
2020/1/1,24,CN,,,42,0,0,1400000710,3,0.093610835
2020/1/2,25,CN,,,45,0,0,1399996624,3.214285714,0.084983943
2020/1/3,26,CN,,,40,0,0,1399999553,2.857142857,0.076905651
2020/1/4,27,CN,,,41,0,0,1399999700,2.928571429,0.069394049
2020/1/5,28,CN,,,41,0,0,1400006684,2.928571429,0.062452745
2020/1/6,29,CN,,,40,0,0,1399999310,2.857142857,0.056073749
2020/1/7,30,CN,,,41,0,0,1400008130,2.928571429,0.050240121
2020/1/8,31,CN,,,40,0,0,1399991038,2.857142857,0.044928314
2020/1/9,32,CN,,,40,0,0,1399994483,2.857142857,0.040110195
2020/1/10,33,CN,,,37,0,3,1399996888,2.642857143,0.035754722
2020/1/11,34,CN,,,33,0,7,1399997625,2.357142857,0.031829309
2020/1/12,35,CN,,,32,0,8,1400005129,2.285714286,0.02830091
2020/1/13,36,CN,,,33,0,8,1399993937,2.357142857,0.025136838
2020/1/14,37,CN,,,32,0,8,1400005387,2.285714286,0.022305385
2020/1/15,38,CN,,,29,0,13,1400002237,2.071428571,0.019776248
2020/1/16,39,CN,,,28,0,17,1399995171,2,0.017520826
2020/1/17,40,CN,,,41,0,21,1399988113,2.928571429,0.015512387
2020/1/18,41,CN,,,171,0,26,1400007885,12.21428571,0.013726155
2020/1/19,42,CN,,,247,0,29,1399996261,17.64285714,0.012139327
2020/1/20,43,CN,,,260,54,30,1399990638,10.85714286,0.010731038
2020/1/21,44,CN,,,405,36,34,1399989234,23.78571429,0.009482291
2020/1/22,45,CN,,,529,393,41,1399990573,-18.35714286,0.008375866
2020/1/23,46,CN,,,770,1071,58,1399997752,-98,0.007396208
2020/1/24,47,CN,,,1208,1964,79,1399983326,-194.2857143,0.006529313
2020/1/25,48,CN,,,1870,2684,104,1399995979,-249.8571429,0.005762607
2020/1/26,49,CN,,,2612,5793,131,1400009692,-641,0.005084829
2020/1/27,50,CN,,,4349,6973,166,1399979157,-685.5,0.004485908
2020/1/28,51,CN,,,5738,9239,235,1399993380,-910,0.003956864
2020/1/29,52,CN,,,7417,12166,294,1399986976,-1208.214286,0.003489692
2020/1/30,53,CN,,,9307,15237,384,1399987193,-1511.928571,0.003077272
2020/1/31,54,CN,,,11288,17987,501,1399965183,-1763.285714,0.002713279
2020/2/1,55,CN,,,13747,19543,631,1399958464,-1809.928571,0.002392095
2020/2/2,56,CN,,,16368,21558,836,1399967904,-1910.571429,0.002108742
2020/2/3,57,CN,,,19380,23213,1056,1399953544,-1931.857143,0.001858806
2020/2/4,58,CN,,,22943,23259,1382,1399947350,-1683.928571,0.001638378
2020/2/5,59,CN,,,26302,24702,1716,1399945673,-1650.142857,0.001444
2020/2/6,60,CN,,,28986,26359,2175,1399935427,-1695.142857,0.001272615
2020/2/7,61,CN,,,31818,27657,2774,1399942865,-1678.285714,0.001121517
2020/2/8,62,CN,,,33698,28942,3463,1399956230,-1727.571429,0.000988317
2020/2/9,63,CN,,,36031,23589,4192,1399935818,-796.2142857,0.000870904
2020/2/10,64,CN,,,37693,21674,5015,1399928810,-403.9285714,0.000767415
2020/2/11,65,CN,,,38873,16067,5855,1399944153,481.3571429,0.000676204
2020/2/12,66,CN,,,51932,13434,6906,1399941111,1790.285714,0.000595819
2020/2/13,67,CN,,,55822,10108,8108,1399932778,2543.285714,0.000524978
2020/2/14,68,CN,,,56948,8969,9624,1399933916,2786.428571,0.00046255
2020/2/15,69,CN,,,57493,8229,11090,1399937461,2931.071429,0.000407539
